"song","artist","year"
"Born This Way","Lady Gaga",2011
"F**kin' Perfect","P!nk",2011
"What's My Name?","Rihanna Featuring Drake",2011
"Look At Me Now","Chris Brown Featuring Lil Wayne & Busta Rhymes",2011
"Down On Me","Jeremih Featuring 50 Cent",2011
"How To Love","Lil Wayne",2011
"Someone Like You","Adele",2011
"Good Life","OneRepublic",2011
"The Lazy Song","Bruno Mars",2011
"Till The World Ends","Britney Spears",2011
"The Show Goes On","Lupe Fiasco",2011
"The Edge Of Glory","Lady Gaga",2011
"We R Who We R","Ke$ha",2011
"Black And Yellow","Wiz Khalifa",2011
"Tonight Tonight","Hot Chelle Rae",2011
"Blow","Ke$ha",2011
"Lighters","Bad Meets Evil Featuring Bruno Mars",2011
"If I Die Young","The Band Perry",2011
"Stereo Hearts","Gym Class Heroes Featuring Adam Levine",2011
"The Time (Dirty Bit)","The Black Eyed Peas",2011
"Coming Home","Diddy - Dirty Money Featuring Skylar Grey",2011
"Hey Baby (Drop It To The Floor)","Pitbull Featuring T-Pain",2011
"Only Girl (In The World)","Rihanna",2011
"6 Foot 7 Foot","Lil Wayne Featuring Cory Gunz",2011
"Just A Kiss","Lady Antebellum",2011
"Dirt Road Anthem","Jason Aldean",2011
"Dynamite","Taio Cruz",2011
"No Hands","Waka Flocka Flame Featuring Roscoe Dash & Wale",2011
"I Wanna Go","Britney Spears",2011
"I'm On One","DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",2011
"You Make Me Feel...","Cobra Starship Featuring Sabi",2011
"Yeah 3X","Chris Brown",2011
"Moment 4 Life","Nicki Minaj Featuring Drake",2011
"I Need A Doctor","Dr. Dre Featuring Eminem & Skylar Grey",2011
"Just A Dream","Nelly",2011
"Motivation","Kelly Rowland Featuring Lil Wayne",2011
"Stereo Love","Edward Maya & Vika Jigulina",2011
"Jar Of Hearts","Christina Perri",2011
"Roll Up","Wiz Khalifa",2011
"Sexy And I Know It","LMFAO",2011
"Rocketeer","Far*East Movement Featuring Ryan Tedder",2011
"All Of The Lights","Kanye West",2011
"Hold It Against Me","Britney Spears",2011
"More","Usher",2011
"What The Hell","Avril Lavigne",2011
"Written In The Stars","Tinie Tempah Featuring Eric Turner",2011
"Bottoms Up","Trey Songz Featuring Nicki Minaj",2011
"DJ Got Us Fallin' In Love","Usher Featuring Pitbull",2011
"For The First Time","The Script",2011
"Honey Bee","Blake Shelton",2011
"Don't You Wanna Stay","Jason Aldean With Kelly Clarkson",2011
"We Found Love","Rihanna Featuring Calvin Harris",2011
"Pretty Girl Rock","Keri Hilson",2011
"You And I","Lady Gaga",2011
"Like A G6","Far*East Movement Featuring Cataracs & Dev",2011
"Without You","David Guetta Featuring Usher",2011
"Back To December","Taylor Swift",2011
"Teenage Dream","Katy Perry",2011
"Crazy Girl","Eli Young Band",2011
"Cheers (Drink To That)","Rihanna",2011
"Who Says","Selena Gomez & The Scene",2011
"Barefoot Blue Jean Night","Jake Owen",2011
"Knee Deep","Zac Brown Band Featuring Jimmy Buffett",2011
"Country Girl (Shake It For Me)","Luke Bryan",2011
"Remind Me","Brad Paisley Duet With Carrie Underwood",2011
"In The Dark","Dev",2011
"Backseat","New Boyz Featuring The Cataracs & Dev",2011
"Headlines","Drake",2011
"Best Thing I Never Had","Beyonce",2011
"Don't Wanna Go Home","Jason Derulo",2011
"Where Them Girls At","David Guetta Featuring Flo Rida & Nicki Minaj",2011
"She Ain't You","Chris Brown",2011
"Take A Back Road","Rodney Atkins",2011
"Please Don't Go","Mike Posner",2011
"Sure Thing","Miguel",2011
"Price Tag","Jessie J Featuring B.o.B",2011
"God Gave Me You","Blake Shelton",2011
"She Will","Lil Wayne Featuring Drake",2011
"Are You Gonna Kiss Me Or Not","Thompson Square",2011
"Animal","Neon Trees",2011
"You And Tequila","Kenny Chesney Featuring Grace Potter",2011
"Colder Weather","Zac Brown Band",2011
"My Last","Big Sean Featuring Chris Brown",2011
"TiK ToK","Ke$ha",2010
"Need You Now","Lady Antebellum",2010
"Hey, Soul Sister","Train",2010
"California Gurls","Katy Perry Featuring Snoop Dogg",2010
"OMG","Usher Featuring will.i.am",2010
"Airplanes","B.o.B Featuring Hayley Williams",2010
"Love The Way You Lie","Eminem Featuring Rihanna",2010
"Bad Romance","Lady Gaga",2010
"Dynamite","Taio Cruz",2010
"Break Your Heart","Taio Cruz Featuring Ludacris",2010
"Nothin' On You","B.o.B Featuring Bruno Mars",2010
"I Like It","Enrique Iglesias Featuring Pitbull",2010
"BedRock","Young Money Featuring Lloyd",2010
"In My Head","Jason Derulo",2010
"Rude Boy","Rihanna",2010
"Telephone","Lady Gaga Featuring Beyonce",2010
"Teenage Dream","Katy Perry",2010
"Just The Way You Are","Bruno Mars",2010
"Cooler Than Me","Mike Posner",2010
"Imma Be","The Black Eyed Peas",2010
"Empire State Of Mind","Jay-Z + Alicia Keys",2010
"DJ Got Us Fallin' In Love","Usher Featuring Pitbull",2010
"Billionaire","Travie McCoy Featuring Bruno Mars",2010
"Not Afraid","Eminem",2010
"Replay","Iyaz",2010
"Sexy Chick","David Guetta Featuring Akon",2010
"Breakeven","The Script",2010
"Your Love Is My Drug","Ke$ha",2010
"I Gotta Feeling","The Black Eyed Peas",2010
"Fireflies","Owl City",2010
"Say Aah","Trey Songz Featuring Fabolous",2010
"Find Your Love","Drake",2010
"Alejandro","Lady Gaga",2010
"Ridin' Solo","Jason Derulo",2010
"Just A Dream","Nelly",2010
"How Low","Ludacris",2010
"Like A G6","Far*East Movement Featuring Cataracs & Dev",2010
"Carry Out","Timbaland Featuring Justin Timberlake",2010
"Haven't Met You Yet","Michael Buble",2010
"Club Can't Handle Me","Flo Rida Featuring David Guetta",2010
"Down","Jay Sean Featuring Lil Wayne",2010
"Bulletproof","La Roux",2010
"Whatcha Say","Jason Derulo",2010
"Baby","Justin Bieber Featuring Ludacris",2010
"Whataya Want From Me","Adam Lambert",2010
"Mine","Taylor Swift",2010
"Only Girl (In The World)","Rihanna",2010
"Live Like We're Dying","Kris Allen",2010
"Hard","Rihanna Featuring Jeezy",2010
"Young Forever","Jay-Z + Mr. Hudson",2010
"Blah Blah Blah","Ke$ha Featuring 3OH!3",2010
"Bottoms Up","Trey Songz Featuring Nicki Minaj",2010
"Do You Remember","Jay Sean Featuring Sean Paul & Lil Jon",2010
"All The Right Moves","OneRepublic",2010
"According To You","Orianthi",2010
"My Chick Bad","Ludacris Featuring Nicki Minaj",2010
"You Belong With Me","Taylor Swift",2010
"Meet Me Halfway","The Black Eyed Peas",2010
"Take It Off","Ke$ha",2010
"Over","Drake",2010
"Animal","Neon Trees",2010
"Misery","Maroon 5",2010
"Magic","B.o.B Featuring Rivers Cuomo",2010
"Paparazzi","Lady Gaga",2010
"Tie Me Down","New Boyz Featuring Ray J",2010
"Your Love","Nicki Minaj",2010
"Party In The U.S.A.","Miley Cyrus",2010
"Deuces","Chris Brown Featuring Tyga & Kevin McCall",2010
"3","Britney Spears",2010
"Impossible","Shontelle",2010
"Forever","Drake Featuring Kanye West, Lil Wayne & Eminem",2010
"Two Is Better Than One","Boys Like Girls Featuring Taylor Swift",2010
"My First Kiss","3OH!3 Featuring Ke$ha",2010
"Already Gone","Kelly Clarkson",2010
"Rock That Body","The Black Eyed Peas",2010
"Secrets","OneRepublic",2010
"Naturally","Selena Gomez & The Scene",2010
"Un-Thinkable (I'm Ready)","Alicia Keys",2010
"All I Do Is Win","DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010
"I Made It (Cash Money Heroes)","Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010
"Stuck Like Glue","Sugarland",2010
"Hey Daddy (Daddy's Home)","Usher Featuring Plies",2010
"There Goes My Baby","Usher",2010
"Today Was A Fairytale","Taylor Swift",2010
"Say Something","Timbaland Featuring Drake",2010
"Sweet Dreams","Beyonce",2010
"Use Somebody","Kings Of Leon",2010
"Undo It","Carrie Underwood",2010
"Eenie Meenie","Sean Kingston & Justin Bieber",2010
"Right Above It","Lil Wayne Featuring Drake",2010
"The House That Built Me","Miranda Lambert",2010
"If I Die Young","The Band Perry",2010
"The Only Exception","Paramore",2010
"American Honey","Lady Antebellum",2010
"King Of Anything","Sara Bareilles",2010
"Life After You","Daughtry",2010
"Smile","Uncle Kracker",2010
"Teach Me How To Dougie","Cali Swag District",2010
"Try Sleeping With A Broken Heart","Alicia Keys",2010
"Lover, Lover","Jerrod Niemann",2010
"Boom Boom Pow","The Black Eyed Peas",2009
"Poker Face","Lady Gaga",2009
"Just Dance","Lady Gaga Featuring Colby O'Donis",2009
"I Gotta Feeling","The Black Eyed Peas",2009
"Love Story","Taylor Swift",2009
"Right Round","Flo Rida",2009
"I'm Yours","Jason Mraz",2009
"Single Ladies (Put A Ring On It)","Beyonce",2009
"Heartless","Kanye West",2009
"Gives You Hell","The All-American Rejects",2009
"You Belong With Me","Taylor Swift",2009
"Dead And Gone","T.I. Featuring Justin Timberlake",2009
"You Found Me","The Fray",2009
"Use Somebody","Kings Of Leon",2009
"Knock You Down","Keri Hilson Featuring Kanye West & Ne-Yo",2009
"Blame It","Jamie Foxx Featuring T-Pain",2009
"I Know You Want Me (Calle Ocho)","Pitbull",2009
"Live Your Life","T.I. Featuring Rihanna",2009
"Kiss Me Thru The Phone","Soulja Boy Tell 'em Featuring Sammie",2009
"Down","Jay Sean Featuring Lil Wayne",2009
"The Climb","Miley Cyrus",2009
"Best I Ever Had","Drake",2009
"My Life Would Suck Without You","Kelly Clarkson",2009
"Halo","Beyonce",2009
"Hot N Cold","Katy Perry",2009
"Second Chance","Shinedown",2009
"Circus","Britney Spears",2009
"Day 'N' Nite","Kid Cudi",2009
"Party In The U.S.A.","Miley Cyrus",2009
"Don't Trust Me","3OH!3",2009
"Run This Town","Jay-Z, Rihanna & Kanye West",2009
"Let It Rock","Kevin Rudolf Featuring Lil Wayne",2009
"Fire Burning","Sean Kingston",2009
"Whatcha Say","Jason Derulo",2009
"LoveGame","Lady Gaga",2009
"Waking Up In Vegas","Katy Perry",2009
"Birthday Sex","Jeremih",2009
"Sober","P!nk",2009
"Womanizer","Britney Spears",2009
"Whatever You Like","T.I.",2009
"Obsessed","Mariah Carey",2009
"Mad","Ne-Yo",2009
"Good Girls Go Bad","Cobra Starship Featuring Leighton Meester",2009
"Love Lockdown","Kanye West",2009
"So What","P!nk",2009
"Hotel Room Service","Pitbull",2009
"Crack A Bottle","Eminem, Dr. Dre & 50 Cent",2009
"If I Were A Boy","Beyonce",2009
"Turnin Me On","Keri Hilson Featuring Lil Wayne",2009
"I Hate This Part","The Pussycat Dolls",2009
"Gotta Be Somebody","Nickelback",2009
"Please Don't Leave Me","P!nk",2009
"Paparazzi","Lady Gaga",2009
"Beautiful","Akon Featuring Colby O'Donis & Kardinal Offishall",2009
"Viva La Vida","Coldplay",2009
"Right Now (Na Na Na)","Akon",2009
"Battlefield","Jordin Sparks",2009
"Sugar","Flo Rida Featuring Wynter",2009
"Miss Independent","Ne-Yo",2009
"Fireflies","Owl City",2009
"New Divide","Linkin Park",2009
"Empire State Of Mind","Jay-Z + Alicia Keys",2009
"No Surprise","Daughtry",2009
"She Wolf","Shakira",2009
"Break Up","Mario Featuring Gucci Mane & Sean Garrett",2009
"Sweet Dreams","Beyonce",2009
"Every Girl","Young Money",2009
"Fallin' For You","Colbie Caillat",2009
"Untouched","The Veronicas",2009
"If Today Was Your Last Day","Nickelback",2009
"Throw It In The Bag","Fabolous Featuring The-Dream",2009
"Love Drunk","Boys Like Girls",2009
"I Love College","Asher Roth",2009
"If U Seek Amy","Britney Spears",2009
"Big Green Tractor","Jason Aldean",2009
"White Horse","Taylor Swift",2009
"Disturbia","Rihanna",2009
"21 Guns","Green Day",2009
"Turn My Swag On","Soulja Boy Tell'em",2009
"Rockin' That Thang","The-Dream",2009
"Chicken Fried","Zac Brown Band",2009
"Diva","Beyonce",2009
"Replay","Iyaz",2009
"Then","Brad Paisley",2009
"Her Diamonds","Rob Thomas",2009
"How Do You Sleep?","Jesse McCartney Featuring Ludacris",2009
"3","Britney Spears",2009
"Forever","Drake Featuring Kanye West, Lil Wayne & Eminem",2009
"One Time","Justin Bieber",2009
"I Run To You","Lady Antebellum",2009
"I Do Not Hook Up","Kelly Clarkson",2009
"Green Light","John Legend Featuring Andre 3000",2009
"People Are Crazy","Billy Currington",2009
"Whatever It Is","Zac Brown Band",2009
"Already Gone","Kelly Clarkson",2009
"Goodbye","Kristinia DeBarge",2009
"Say Hey (I Love You)","Michael Franti & Spearhead Featuring Cherine Anderson",2009
"Pop Champagne","Jim Jones & Ron Browz Featuring Juelz Santana",2009
"Pretty Wings","Maxwell",2009
"Never Say Never","The Fray",2009
"Low","Flo Rida Featuring T-Pain",2008
"Bleeding Love","Leona Lewis",2008
"No One","Alicia Keys",2008
"Lollipop","Lil Wayne Featuring Static Major",2008
"Apologize","Timbaland Featuring OneRepublic",2008
"No Air","Jordin Sparks Duet With Chris Brown",2008
"Love Song","Sara Bareilles",2008
"Love In This Club","Usher Featuring Young Jeezy",2008
"With You","Chris Brown",2008
"Forever","Chris Brown",2008
"Sexy Can I","Ray J & Yung Berg",2008
"Take A Bow","Rihanna",2008
"Viva La Vida","Coldplay",2008
"I Kissed A Girl","Katy Perry",2008
"Whatever You Like","T.I.",2008
"Disturbia","Rihanna",2008
"Don't Stop The Music","Rihanna",2008
"Pocketful Of Sunshine","Natasha Bedingfield",2008
"Kiss Kiss","Chris Brown Featuring T-Pain",2008
"Closer","Ne-Yo",2008
"Bubbly","Colbie Caillat",2008
"Touch My Body","Mariah Carey",2008
"4 Minutes","Madonna Featuring Justin Timberlake & Timbaland",2008
"So What","P!nk",2008
"Paralyzer","Finger Eleven",2008
"Clumsy","Fergie",2008
"I'm Yours","Jason Mraz",2008
"Leavin'","Jesse McCartney",2008
"Dangerous","Kardinal Offishall Featuring Akon",2008
"Tattoo","Jordin Sparks",2008
"See You Again","Miley Cyrus",2008
"Shake It","Metro Station",2008
"Stop And Stare","OneRepublic",2008
"Take You There","Sean Kingston",2008
"Paper Planes","M.I.A.",2008
"Hot N Cold","Katy Perry",2008
"Live Your Life","T.I. Featuring Rihanna",2008
"Bust It Baby Part 2","Plies Featuring Ne-Yo",2008
"American Boy","Estelle Featuring Kanye West",2008
"Got Money","Lil Wayne Featuring T-Pain",2008
"Our Song","Taylor Swift",2008
"Damaged","Danity Kane",2008
"A Milli","Lil Wayne",2008
"Sorry","Buckcherry",2008
"Independent","Webbie Featuring Lil' Phat & Lil' Boosie",2008
"Can't Believe It","T-Pain Featuring Lil Wayne",2008
"Like You'll Never See Me Again","Alicia Keys",2008
"Teardrops On My Guitar","Taylor Swift",2008
"When I Grow Up","The Pussycat Dolls",2008
"Sensual Seduction","Snoop Dogg",2008
"What You Got","Colby O'Donis Featuring Akon",2008
"It's Not My Time","3 Doors Down",2008
"Better In Time","Leona Lewis",2008
"Crank That (Soulja Boy)","Soulja Boy Tell'em",2008
"Shadow Of The Day","Linkin Park",2008
"Sweetest Girl (Dollar Bill)","Wyclef Jean Featuring Akon, Lil Wayne & Niia",2008
"Miss Independent","Ne-Yo",2008
"Fall For You","Secondhand Serenade",2008
"In The Ayer","Flo Rida Featuring will.i.am",2008
"Say","John Mayer",2008
"One Step At A Time","Jordin Sparks",2008
"Hate That I Love You","Rihanna Featuring Ne-Yo",2008
"Superstar","Lupe Fiasco Featuring Matthew Santos",2008
"Suffocate","J. Holiday",2008
"Let It Rock","Kevin Rudolf Featuring Lil Wayne",2008
"Get Like Me","David Banner Featuring Chris Brown",2008
"Realize","Colbie Caillat",2008
"Put On","Young Jeezy Featuring Kanye West",2008
"The Time Of My Life","David Cook",2008
"Lolli Lolli (Pop That Body)","Three 6 Mafia Featuring Project Pat, Young D & Superpower",2008
"Cyclone","Baby Bash Featuring T-Pain",2008
"Love Like This","Natasha Bedingfield Featuring Sean Kingston",2008
"Burnin' Up","Jonas Brothers",2008
"Love Lockdown","Kanye West",2008
"I Luv Your Girl","The-Dream",2008
"Crush","David Archuleta",2008
"Hypnotized","Plies Featuring Akon",2008
"Big Girls Don't Cry","Fergie",2008
"Good Life","Kanye West Featuring T-Pain",2008
"Womanizer","Britney Spears",2008
"Love Story","Taylor Swift",2008
"Just Fine","Mary J. Blige",2008
"Piece Of Me","Britney Spears",2008
"The Boss","Rick Ross Featuring T-Pain",2008
"All Summer Long","Kid Rock",2008
"Can't Help But Wait","Trey Songz",2008
"In Love With A Girl","Gavin DeGraw",2008
"My Life","The Game Featuring Lil Wayne",2008
"I Remember","Keyshia Cole",2008
"Flashing Lights","Kanye West Featuring Dwele",2008
"Mrs. Officer","Lil Wayne Featuring Bobby Valentino & Kidd Kidd",2008
"7 Things","Miley Cyrus",2008
"You're Gonna Miss This","Trace Adkins",2008
"Love Remains The Same","Gavin Rossdale",2008
"Feels Like Tonight","Daughtry",2008
"The Way I Are","Timbaland Featuring Keri Hilson",2008
"Addicted","Saving Abel",2008
"Into The Night","Santana Featuring Chad Kroeger",2008
"Heaven Sent","Keyshia Cole",2008
"She Got It","2 Pistols Featuring T-Pain & Tay Dizm",2008
"Irreplaceable","Beyonce",2007
"Umbrella","Rihanna Featuring Jay-Z",2007
"The Sweet Escape","Gwen Stefani Featuring Akon",2007
"Big Girls Don't Cry","Fergie",2007
"Buy U A Drank (Shawty Snappin')","T-Pain Featuring Yung Joc",2007
"Before He Cheats","Carrie Underwood",2007
"Hey There Delilah","Plain White T's",2007
"I Wanna Love You","Akon Featuring Snoop Dogg",2007
"Say It Right","Nelly Furtado",2007
"Glamorous","Fergie Featuring Ludacris",2007
"Don't Matter","Akon",2007
"Girlfriend","Avril Lavigne",2007
"Makes Me Wonder","Maroon 5",2007
"Party Like A Rockstar","Shop Boyz",2007
"Smack That","Akon Featuring Eminem",2007
"This Is Why I'm Hot","Mims",2007
"It's Not Over","Daughtry",2007
"The Way I Are","Timbaland Featuring Keri Hilson",2007
"Fergalicious","Fergie",2007
"Crank That (Soulja Boy)","Soulja Boy Tell'em",2007
"Give It To Me","Timbaland Featuring Nelly Furtado & Justin Timberlake",2007
"What Goes Around...Comes Around","Justin Timberlake",2007
"Cupid's Chokehold/Breakfast In America","Gym Class Heroes Featuring Patrick Stump",2007
"How To Save A Life","The Fray",2007
"Home","Daughtry",2007
"My Love","Justin Timberlake Featuring T.I.",2007
"Stronger","Kanye West",2007
"We Fly High","Jim Jones",2007
"U + Ur Hand","P!nk",2007
"Walk It Out","Unk",2007
"Beautiful Girls","Sean Kingston",2007
"This Ain't A Scene, It's An Arms Race","Fall Out Boy",2007
"Bartender","T-Pain Featuring Akon",2007
"Pop, Lock & Drop It","Huey",2007
"Runaway Love","Ludacris Featuring Mary J. Blige",2007
"Rockstar","Nickelback",2007
"Thnks Fr Th Mmrs","Fall Out Boy",2007
"What I've Done","Linkin Park",2007
"Summer Love","Justin Timberlake",2007
"You","Lloyd Featuring Lil Wayne",2007
"Wait For You","Elliott Yamin",2007
"Last Night","Diddy Featuring Keyshia Cole",2007
"Make It Rain","Fat Joe Featuring Lil Wayne",2007
"Make Me Better","Fabolous Featuring Ne-Yo",2007
"Ice Box","Omarion",2007
"Lips Of An Angel","Hinder",2007
"Waiting On The World To Change","John Mayer",2007
"Lost Without U","Robin Thicke",2007
"I'm A Flirt","R. Kelly Or Bow Wow (Featuring T.I. & T-Pain)",2007
"If Everyone Cared","Nickelback",2007
"Get It Shawty","Lloyd",2007
"Face Down","The Red Jumpsuit Apparatus",2007
"The Way I Live","Baby Boy Da Prince Featuring Lil Boosie",2007
"Shortie Like Mine","Bow Wow Featuring Chris Brown & Johnta Austin",2007
"It Ends Tonight","The All-American Rejects",2007
"A Bay Bay","Hurricane Chris",2007
"Because Of You","Ne-Yo",2007
"I Tried","Bone Thugs-N-Harmony Featuring Akon",2007
"Welcome To The Black Parade","My Chemical Romance",2007
"Shawty","Plies Featuring T-Pain",2007
"Chasing Cars","Snow Patrol",2007
"Beautiful Liar","Beyonce & Shakira",2007
"SexyBack","Justin Timberlake",2007
"Keep Holding On","Avril Lavigne",2007
"Let It Go","Keyshia Cole Featuring Missy Elliott & Lil Kim",2007
"Apologize","Timbaland Featuring OneRepublic",2007
"Bubbly","Colbie Caillat",2007
"Like A Boy","Ciara",2007
"Who Knew","P!nk",2007
"Never Again","Kelly Clarkson",2007
"Promise","Ciara",2007
"Bed","J. Holiday",2007
"Throw Some D's","Rich Boy Featuring Polow Da Don",2007
"Rehab","Amy Winehouse",2007
"Big Things Poppin' (Do It)","T.I.",2007
"No One","Alicia Keys",2007
"The Great Escape","Boys Like Girls",2007
"2 Step","Unk",2007
"Walk Away (Remember Me)","Paula DeAnda Featuring The DEY",2007
"Go Getta","Young Jeezy Featuring R. Kelly",2007
"Here (In Your Arms)","Hellogoodbye",2007
"On The Hotline","Pretty Ricky",2007
"Wind It Up","Gwen Stefani",2007
"Cyclone","Baby Bash Featuring T-Pain",2007
"Break It Off","Rihanna & Sean Paul",2007
"First Time","Lifehouse",2007
"Ayo Technology","50 Cent Featuring Justin Timberlake & Timbaland",2007
"Outta My System","Bow Wow Featuring T-Pain & Johnta Austin",2007
"Teardrops On My Guitar","Taylor Swift",2007
"Shut Up And Drive","Rihanna",2007
"Snow ((Hey Oh))","Red Hot Chili Peppers",2007
"Money Maker","Ludacris Featuring Pharrell",2007
"Kiss Kiss","Chris Brown Featuring T-Pain",2007
"Far Away","Nickelback",2007
"Rock Yo Hips","Crime Mob Featuring Lil Scrappy",2007
"LoveStoned","Justin Timberlake",2007
"Better Than Me","Hinder",2007
"Paralyzer","Finger Eleven",2007
"That's That","Snoop Dogg Featuring R. Kelly",2007
"Same Girl","R. Kelly Duet With Usher",2007
"Bad Day","Daniel Powter",2006
"Temperature","Sean Paul",2006
"Promiscuous","Nelly Furtado Featuring Timbaland",2006
"You're Beautiful","James Blunt",2006
"Hips Don't Lie","Shakira Featuring Wyclef Jean",2006
"Unwritten","Natasha Bedingfield",2006
"Crazy","Gnarls Barkley",2006
"Ridin'","Chamillionaire Featuring Krayzie Bone",2006
"SexyBack","Justin Timberlake",2006
"Check On It","Beyonce Featuring Slim Thug",2006
"Be Without You","Mary J. Blige",2006
"Grillz","Nelly Featuring Paul Wall, Ali & Gipp",2006
"Over My Head (Cable Car)","The Fray",2006
"Me & U","Cassie",2006
"Buttons","The Pussycat Dolls Featuring Snoop Dogg",2006
"Run It!","Chris Brown",2006
"So Sick","Ne-Yo",2006
"It's Goin' Down","Yung Joc",2006
"SOS","Rihanna",2006
"I Write Sins Not Tragedies","Panic! At The Disco",2006
"Move Along","The All-American Rejects",2006
"London Bridge","Fergie",2006
"Dani California","Red Hot Chili Peppers",2006
"Snap Yo Fingers","Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ",2006
"Lean Wit It, Rock Wit It","Dem Franchize Boyz Featuring Lil Peanut & Charlay",2006
"What Hurts The Most","Rascal Flatts",2006
"How To Save A Life","The Fray",2006
"Unfaithful","Rihanna",2006
"Chasing Cars","Snow Patrol",2006
"Lips Of An Angel","Hinder",2006
"Everytime We Touch","Cascada",2006
"Ain't No Other Man","Christina Aguilera",2006
"Dance, Dance","Fall Out Boy",2006
"Gold Digger","Kanye West Featuring Jamie Foxx",2006
"Money Maker","Ludacris Featuring Pharrell",2006
"Ms. New Booty","Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark",2006
"(When You Gonna) Give It Up To Me","Sean Paul Featuring Keyshia Cole",2006
"Photograph","Nickelback",2006
"Because Of You","Kelly Clarkson",2006
"Stickwitu","The Pussycat Dolls",2006
"I'm N Luv (Wit A Stripper)","T-Pain Featuring Mike Jones",2006
"My Humps","The Black Eyed Peas",2006
"Where'd You Go","Fort Minor Featuring Holly Brook",2006
"Yo (Excuse Me Miss)","Chris Brown",2006
"Walk Away","Kelly Clarkson",2006
"Laffy Taffy","D4L",2006
"What You Know","T.I.",2006
"Dirty Little Secret","The All-American Rejects",2006
"Savin' Me","Nickelback",2006
"Don't Forget About Us","Mariah Carey",2006
"Sexy Love","Ne-Yo",2006
"U And Dat","E-40 Featuring T-Pain & Kandi Girl",2006
"Far Away","Nickelback",2006
"What's Left Of Me","Nick Lachey",2006
"So What","Field Mob Featuring Ciara",2006
"Do It To It","Cherish Featuring Sean Paul Of The YoungBloodZ",2006
"Black Horse & The Cherry Tree","KT Tunstall",2006
"There It Go! (The Whistle Song)","Juelz Santana",2006
"Shoulder Lean","Young Dro Featuring T.I.",2006
"Unpredictable","Jamie Foxx Featuring Ludacris",2006
"My Love","Justin Timberlake Featuring T.I.",2006
"Shake That","Eminem Featuring Nate Dogg",2006
"Pullin' Me Back","Chingy Featuring Tyrese",2006
"Bossy","Kelis Featuring Too $hort",2006
"Chain Hang Low","Jibbs",2006
"Smack That","Akon Featuring Eminem",2006
"One Wish","Ray J",2006
"Sugar, We're Goin' Down","Fall Out Boy",2006
"Gimme That","Chris Brown Featuring Lil Wayne",2006
"I Know You See It","Yung Joc Featuring Brandy 'Ms. B.' Hambrick",2006
"Who Says You Can't Go Home","Bon Jovi",2006
"Too Little Too Late","JoJo",2006
"Touch It","Busta Rhymes",2006
"Rompe","Daddy Yankee",2006
"Deja Vu","Beyonce Featuring Jay Z",2006
"Life Is A Highway","Rascal Flatts",2006
"Call Me When You're Sober","Evanescence",2006
"Jesus, Take The Wheel","Carrie Underwood",2006
"Show Stopper","Danity Kane",2006
"Get Up","Ciara Featuring Chamillionaire",2006
"We Be Burnin'","Sean Paul",2006
"Hate Me","Blue October",2006
"You And Me","Lifehouse",2006
"Beep","The Pussycat Dolls Featuring will.i.am",2006
"I Think They Like Me","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006
"Say Goodbye","Chris Brown",2006
"Waiting On The World To Change","John Mayer",2006
"Soul Survivor","Young Jeezy Featuring Akon",2006
"Pump It","The Black Eyed Peas",2006
"When I'm Gone","Eminem",2006
"Hung Up","Madonna",2006
"Stay Fly","Three 6 Mafia Featuring Young Buck & Eightball & MJG",2006
"Love","Keyshia Cole",2006
"When You're Mad","Ne-Yo",2006
"Why You Wanna","T.I.",2006
"Stupid Girls","P!nk",2006
"Feel Good Inc","Gorillaz",2006
"I'm Sprung","T-Pain",2006
"Do I Make You Proud","Taylor Hicks",2006
"For You I Will (Confidence)","Teddy Geiger",2006
